q4,q4h,q6,q6h,label
0.095306,0.08744,0.480524,0.43428, hcp
0.081201,0.037014,0.405275,0.406662, bcc
0.073583,0.022856,0.489543,0.394713, bcc
0.127924,0.09241,0.411088,0.43407, hcp
0.133754,0.03647,0.422669,0.434093, bcc
0.131329,0.075407,0.401185,0.415675, hcp
0.12047,0.087022,0.452363,0.422698, hcp
0.073298,0.039241,0.462496,0.409032, bcc
0.099724,0.058054,0.439771,0.400011, bcc
0.108991,0.082367,0.472949,0.449356, hcp
0.101416,0.081222,0.474063,0.405774, hcp
0.098209,0.09215,0.451647,0.431454, hcp
0.099917,0.081255,0.39857,0.418628, hcp
0.078438,0.032299,0.386276,0.384939, bcc
0.116564,0.072043,0.427678,0.409195, hcp
0.093397,0.037806,0.485574,0.417965, bcc
0.09952,0.076668,0.433393,0.453876, hcp
0.065374,0.042871,0.429974,0.413279, bcc
0.124149,0.069495,0.464824,0.416736, hcp
0.082513,0.023091,0.404921,0.435584, bcc
0.106065,0.095778,0.474942,0.414566, hcp
0.103128,0.022808,0.426569,0.409466, bcc
0.034045,0.018943,0.463094,0.376343, bcc
0.110264,0.084885,0.455627,0.433647, hcp
0.125165,0.046469,0.430469,0.396786, bcc
0.087853,0.047687,0.444896,0.415574, bcc
0.106624,0.079981,0.47324,0.425643, hcp
0.085325,0.042554,0.486267,0.366053, bcc
0.078533,0.018396,0.456663,0.402484, bcc
0.156908,0.071097,0.464146,0.404679, hcp
0.066605,0.044942,0.442594,0.360832, bcc
0.096085,0.07652,0.432186,0.402518, hcp
0.105853,0.074964,0.421747,0.44013, hcp
0.12206,0.034637,0.389727,0.405883, bcc
0.124347,0.088922,0.438705,0.452644, hcp
0.079748,0.077709,0.425199,0.392114, hcp
0.104812,0.07966,0.394601,0.458102, hcp
0.058887,0.019911,0.411443,0.376172, bcc
0.101496,0.104149,0.433099,0.416007, hcp
0.058163,0.020259,0.453299,0.418787, bcc
0.082816,0.032251,0.417341,0.406963, bcc
0.082939,0.083659,0.441992,0.418401, hcp
0.087321,0.068189,0.467397,0.453761, hcp
0.067273,0.048315,0.472374,0.414082, bcc
0.111679,0.091439,0.474681,0.394188, hcp
0.092527,0.016669,0.462622,0.401238, bcc
0.146254,0.08613,0.431681,0.459813, hcp
0.130489,0.099218,0.438288,0.426592, hcp
0.069533,0.017404,0.426647,0.393352, bcc
0.099568,0.093358,0.500007,0.431209, hcp
0.090449,0.075631,0.448805,0.400148, hcp
0.091993,0.086191,0.393427,0.438878, hcp
0.039468,0.006244,0.384012,0.391377, bcc
0.080217,0.030055,0.43792,0.410335, bcc
0.070489,0.083924,0.462314,0.394402, hcp
0.122505,0.094269,0.421404,0.447638, hcp
0.088243,0.050045,0.437505,0.414008, bcc
0.115934,0.077046,0.437761,0.412329, hcp
0.102013,0.09419,0.451405,0.425958, hcp
0.098777,0.081343,0.392836,0.414709, hcp
0.112913,0.040413,0.414496,0.378219, bcc
0.127857,0.088195,0.39592,0.434415, hcp
0.133944,0.079389,0.494779,0.431551, hcp
0.137406,0.069539,0.418486,0.434616, hcp
0.073262,0.081626,0.463431,0.414991, hcp
0.062916,0.024816,0.384982,0.409182, bcc
0.079873,0.077685,0.497209,0.410926, hcp
0.099194,0.0244,0.445247,0.389612, bcc
0.089854,0.090647,0.469403,0.422983, hcp
0.101519,0.095233,0.440673,0.423173, hcp
0.106089,0.017943,0.434631,0.396851, bcc
0.124315,0.088487,0.376815,0.406155, hcp
0.073781,0.015413,0.448978,0.432409, bcc
0.043112,0.031576,0.463632,0.388643, bcc
0.096546,0.084632,0.392414,0.452929, hcp
0.128825,0.032036,0.433695,0.38349, bcc
0.068983,0.029918,0.458342,0.391261, bcc
0.10518,0.008576,0.436956,0.394587, bcc
0.111787,0.086752,0.417642,0.441034, hcp
0.103409,0.042556,0.468229,0.428522, bcc
0.090954,0.029847,0.429101,0.444897, bcc
0.085872,0.072082,0.450678,0.431602, hcp
